q1	q2	q3	q4	q1d	q2d	q3d	q4d	q1dd	q2dd	q3dd	q4dd	tau1	tau2	tau2	tau4
-0.0014	0.2339	-0.3528	0.0033	0.0013	0.0476	0.2201	-0.0051	-0.0005	-0.0865	-0.3198	0.0252	-293.4583	133728.8112	2121.8571	-4125.7547
-0.0014	0.2343	-0.3506	0.0033	0.0013	0.0465	0.2173	-0.0053	0.0009	-0.0885	-0.2158	-0.0154	-191.1983	133981.7628	2185.9208	-4123.8341
-0.0014	0.2349	-0.3482	0.0032	0.0012	0.0452	0.2140	-0.0052	-0.0113	-0.1727	-0.4717	0.0177	-203.6883	134248.1269	2259.4794	-4123.0198
-0.0013	0.2355	-0.3452	0.0032	0.0012	0.0441	0.2099	-0.0051	-0.0005	-0.0738	-0.2607	0.0052	-142.0067	134658.8045	2355.5841	-4144.6650
-0.0013	0.2357	-0.3442	0.0031	0.0012	0.0436	0.2084	-0.0050	0.0010	-0.1155	-0.3702	0.0263	-169.0762	134722.5324	2373.4231	-4119.1083
-0.0013	0.2361	-0.3421	0.0031	0.0013	0.0425	0.2056	-0.0050	0.0010	-0.1084	-0.2817	0.0007	-215.5796	134946.5637	2425.0891	-4107.7404
-0.0013	0.2365	-0.3401	0.0030	0.0012	0.0418	0.2027	-0.0050	-0.0076	-0.0691	-0.2891	0.0009	-143.9758	134929.7943	2510.5153	-4114.0020
-0.0013	0.2370	-0.3381	0.0030	0.0012	0.0409	0.1999	-0.0050	0.0020	-0.0920	-0.2727	-0.0053	-254.8765	135133.0847	2571.0693	-4106.1514
-0.0013	0.2374	-0.3359	0.0029	0.0012	0.0401	0.1968	-0.0049	-0.0000	-0.0753	-0.2814	0.0146	-179.7847	135397.3993	2632.7755	-4104.5171
-0.0013	0.2378	-0.3341	0.0029	0.0011	0.0394	0.1944	-0.0049	-0.0088	-0.0789	-0.2738	0.0013	-0.4420	135452.0395	2681.2337	-4086.4180
-0.0013	0.2382	-0.3322	0.0028	0.0011	0.0385	0.1918	-0.0049	0.0030	-0.0898	-0.2631	-0.0048	-125.1271	135661.2399	2731.9767	-4076.0217
-0.0013	0.2387	-0.3294	0.0028	0.0011	0.0373	0.1877	-0.0047	-0.0016	-0.0770	-0.2671	0.0124	-29.2091	136000.3074	2809.7804	-4094.1079
-0.0012	0.2389	-0.3282	0.0027	0.0011	0.0370	0.1861	-0.0047	0.0008	-0.0468	-0.2764	-0.0013	-48.8022	135989.7535	2857.9274	-4091.3097
-0.0012	0.2393	-0.3264	0.0027	0.0011	0.0362	0.1835	-0.0048	-0.0024	-0.0817	-0.2545	-0.0016	-184.2012	135948.1990	2932.4559	-4087.7031
-0.0012	0.2396	-0.3247	0.0026	0.0011	0.0356	0.1812	-0.0047	-0.0013	-0.0669	-0.2569	0.0088	-89.3767	136076.7926	2979.2958	-4088.7068
-0.0012	0.2400	-0.3229	0.0026	0.0011	0.0348	0.1788	-0.0047	0.0045	-0.0859	-0.2453	-0.0009	-84.2816	136315.4755	3010.0262	-4060.0434
-0.0012	0.2404	-0.3210	0.0025	0.0011	0.0341	0.1761	-0.0048	-0.0014	-0.0583	-0.2462	-0.0105	-157.7411	136293.6517	3091.2925	-4068.4209
-0.0012	0.2407	-0.3192	0.0025	0.0010	0.0335	0.1736	-0.0047	-0.0082	-0.0570	-0.2517	0.0118	-222.6399	136311.5913	3160.6203	-4070.3419
-0.0012	0.2410	-0.3175	0.0025	0.0011	0.0328	0.1711	-0.0046	0.0076	-0.0712	-0.2418	0.0066	-211.9752	136576.8551	3196.2924	-4066.7150
-0.0012	0.2414	-0.3158	0.0024	0.0011	0.0322	0.1688	-0.0046	-0.0046	-0.0663	-0.2356	0.0023	-251.4190	136677.0054	3247.8708	-4060.1239
-0.0012	0.2417	-0.3142	0.0024	0.0010	0.0316	0.1663	-0.0044	-0.0060	-0.0604	-0.2492	0.0233	-175.9234	136720.6505	3291.2889	-4051.6494
-0.0012	0.2420	-0.3127	0.0023	0.0012	0.0311	0.1642	-0.0044	0.0169	-0.0517	-0.2285	-0.0092	-175.0999	136894.6030	3327.7095	-4055.7544
-0.0011	0.2423	-0.3109	0.0023	0.0010	0.0305	0.1617	-0.0045	-0.0139	-0.0588	-0.2270	-0.0018	-201.8745	136895.5114	3400.9790	-4059.5803
-0.0011	0.2426	-0.3094	0.0022	0.0009	0.0299	0.1597	-0.0045	-0.0076	-0.0558	-0.2242	0.0017	-145.3673	137002.9286	3431.4796	-4036.5370
-0.0011	0.2429	-0.3078	0.0022	0.0010	0.0294	0.1575	-0.0044	0.0020	-0.0557	-0.2252	0.0016	-276.7497	137022.7231	3492.1814	-4028.8678
-0.0011	0.2432	-0.3063	0.0021	0.0010	0.0289	0.1552	-0.0044	0.0046	-0.0465	-0.2020	-0.0004	-226.9609	137202.6867	3545.4051	-4046.9343
-0.0011	0.2434	-0.3047	0.0021	0.0010	0.0283	0.1532	-0.0045	-0.0054	-0.0659	-0.2312	-0.0067	-243.0833	137318.9117	3578.5674	-4024.1705
-0.0011	0.2437	-0.3032	0.0021	0.0010	0.0277	0.1510	-0.0045	0.0004	-0.0622	-0.2137	-0.0003	-134.1685	137403.1371	3610.3172	-4005.0785
-0.0011	0.2440	-0.3017	0.0020	0.0010	0.0272	0.1488	-0.0044	-0.0005	-0.0454	-0.2185	0.0070	-207.7731	137358.1296	3671.6692	-4014.2500
-0.0011	0.2443	-0.3002	0.0020	0.0010	0.0267	0.1468	-0.0044	0.0008	-0.0531	-0.2062	0.0012	-214.6447	137450.3346	3720.9961	-4009.0066
-0.0011	0.2446	-0.2986	0.0019	0.0009	0.0261	0.1445	-0.0044	-0.0045	-0.0508	-0.2052	0.0051	-143.6734	137542.0567	3761.5010	-4015.4455
-0.0011	0.2448	-0.2974	0.0019	0.0009	0.0258	0.1426	-0.0043	-0.0003	-0.0343	-0.2126	0.0022	-124.6191	137630.5566	3807.1636	-4010.6652
-0.0010	0.2450	-0.2959	0.0018	0.0009	0.0253	0.1406	-0.0042	-0.0047	-0.0471	-0.2050	0.0165	-175.4029	137666.4153	3852.9320	-4018.8619
-0.0010	0.2453	-0.2945	0.0018	0.0009	0.0248	0.1387	-0.0043	0.0037	-0.0543	-0.1880	-0.0128	-62.0440	137787.4603	3876.6715	-4000.6257
-0.0010	0.2457	-0.2925	0.0017	0.0008	0.0242	0.1356	-0.0042	-0.0052	-0.0420	-0.2018	0.0096	-109.2449	137826.2208	3952.2262	-4002.7654
-0.0010	0.2458	-0.2918	0.0017	0.0008	0.0241	0.1346	-0.0042	-0.0050	-0.0115	-0.2023	0.0030	-175.3665	137673.0339	3979.3367	-3999.9015
-0.0010	0.2460	-0.2905	0.0017	0.0008	0.0235	0.1329	-0.0043	0.0036	-0.0615	-0.1774	-0.0127	-194.0944	137928.6631	4013.2284	-3986.9581
-0.0010	0.2462	-0.2892	0.0016	0.0009	0.0230	0.1310	-0.0042	0.0040	-0.0501	-0.1874	0.0099	-138.7517	138024.9777	4045.1801	-3978.0495
-0.0010	0.2465	-0.2879	0.0016	0.0008	0.0226	0.1291	-0.0041	-0.0079	-0.0390	-0.1912	0.0087	-169.2921	138128.9762	4094.4372	-3990.8723
-0.0010	0.2467	-0.2866	0.0015	0.0008	0.0223	0.1273	-0.0041	-0.0040	-0.0339	-0.1806	0.0001	-149.5776	138186.7528	4114.4224	-3959.8556
-0.0010	0.2469	-0.2853	0.0015	0.0009	0.0219	0.1254	-0.0040	0.0114	-0.0384	-0.1859	0.0060	-64.2213	138228.5260	4160.9697	-3974.3870
-0.0010	0.2472	-0.2839	0.0015	0.0008	0.0215	0.1235	-0.0041	-0.0096	-0.0336	-0.1748	-0.0076	-155.7367	138286.5659	4202.7516	-3954.6024
-0.0010	0.2474	-0.2828	0.0014	0.0008	0.0211	0.1219	-0.0041	0.0089	-0.0449	-0.1751	0.0060	-78.1512	138266.2757	4252.3648	-3979.2690
