t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
2.8140	5.7282	-0.3666	1.7581	-0.2561	-0.0462	-0.0485	0.0577	-0.0079	-1.3993	-1.4711	1.7498	-0.2383
2.8470	5.7207	-0.3763	1.7679	-0.2574	-0.1359	-0.1881	0.1793	-0.0221	-4.1187	-5.6991	5.4318	-0.6701
2.8810	5.7192	-0.3786	1.7699	-0.2576	-0.0439	-0.0671	0.0593	-0.0069	-1.2901	-1.9739	1.7443	-0.2040
2.9140	5.7117	-0.3920	1.7805	-0.2587	-0.0938	-0.1780	0.1338	-0.0139	-2.8426	-5.3935	4.0544	-0.4208
2.9190	5.7089	-0.3978	1.7846	-0.2591	-0.2937	-0.6154	0.4284	-0.0416	-58.7340	-123.0828	85.6783	-8.3253
2.9290	5.7074	-0.4009	1.7867	-0.2593	-0.1468	-0.3172	0.2180	-0.0205	-14.6826	-31.7190	21.8035	-2.0505
2.9600	5.7060	-0.4042	1.7889	-0.2595	-0.0474	-0.1059	0.0708	-0.0065	-1.5274	-3.4150	2.2843	-0.2096
2.9920	5.7001	-0.4184	1.7978	-0.2603	-0.0914	-0.2274	0.1408	-0.0117	-2.8558	-7.1063	4.3986	-0.3661
3.0110	5.6972	-0.4261	1.8024	-0.2607	-0.0689	-0.1848	0.1086	-0.0085	-3.6247	-9.7238	5.7184	-0.4493
3.0200	5.6941	-0.4346	1.8073	-0.2610	-0.1787	-0.5025	0.2850	-0.0209	-19.8534	-55.8388	31.6630	-2.3277
3.0290	5.6928	-0.4384	1.8094	-0.2612	-0.1464	-0.4193	0.2362	-0.0168	-16.2684	-46.5859	26.2391	-1.8717
3.0580	5.6899	-0.4470	1.8142	-0.2615	-0.1004	-0.2983	0.1637	-0.0113	-3.4635	-10.2876	5.6442	-0.3910
3.0920	5.6868	-0.4566	1.8192	-0.2618	-0.0902	-0.2809	0.1483	-0.0096	-2.6534	-8.2614	4.3608	-0.2827
3.1170	5.6826	-0.4704	1.8263	-0.2623	-0.0587	-0.1945	0.0985	-0.0058	-2.3493	-7.7811	3.9383	-0.2326
3.1190	5.6796	-0.4804	1.8313	-0.2625	-0.7386	-2.5274	1.2462	-0.0682	-369.3135	-1263.6802	623.1239	-34.0998
3.1290	5.6782	-0.4856	1.8338	-0.2627	-0.1477	-0.5147	0.2492	-0.0134	-14.7684	-51.4707	24.9212	-1.3445
3.1600	5.6752	-0.4962	1.8388	-0.2629	-0.0956	-0.3407	0.1623	-0.0083	-3.0843	-10.9909	5.2357	-0.2685
3.1920	5.6722	-0.5071	1.8439	-0.2632	-0.0423	-0.1548	0.0722	-0.0034	-1.3210	-4.8361	2.2565	-0.1057
3.2250	5.6662	-0.5299	1.8543	-0.2636	-0.0915	-0.3512	0.1579	-0.0067	-2.7735	-10.6410	4.7840	-0.2028
3.2570	5.6601	-0.5541	1.8649	-0.2640	-0.1439	-0.5702	0.2486	-0.0092	-4.4972	-17.8201	7.7696	-0.2888
3.2840	5.6585	-0.5603	1.8676	-0.2641	-0.0575	-0.2305	0.0994	-0.0034	-2.1300	-8.5386	3.6818	-0.1272
3.3160	5.6532	-0.5821	1.8768	-0.2644	-0.0688	-0.2839	0.1188	-0.0036	-2.1486	-8.8716	3.7124	-0.1136
3.3480	5.6474	-0.6061	1.8867	-0.2647	-0.1003	-0.4204	0.1724	-0.0045	-3.1332	-13.1379	5.3879	-0.1416
3.3800	5.6409	-0.6338	1.8978	-0.2650	-0.1530	-0.6539	0.2624	-0.0060	-4.7799	-20.4356	8.2013	-0.1872
3.4130	5.6376	-0.6481	1.9035	-0.2651	-0.0503	-0.2178	0.0854	-0.0017	-1.5246	-6.5991	2.5881	-0.0514
3.4190	5.6326	-0.6701	1.9120	-0.2652	-0.2825	-1.2283	0.4768	-0.0077	-47.0808	-204.7209	79.4644	-1.2901
3.4290	5.6309	-0.6775	1.9149	-0.2653	-0.1704	-0.7446	0.2858	-0.0046	-17.0387	-74.4554	28.5823	-0.4562
3.4590	5.6292	-0.6850	1.9177	-0.2653	-0.0571	-0.2496	0.0955	-0.0014	-1.9028	-8.3195	3.1828	-0.0461
3.4920	5.6239	-0.7079	1.9264	-0.2654	-0.0534	-0.2329	0.0883	-0.0010	-1.6183	-7.0564	2.6769	-0.0315
3.5250	5.6185	-0.7313	1.9352	-0.2655	-0.0546	-0.2379	0.0892	-0.0008	-1.6543	-7.2093	2.7039	-0.0242
3.5570	5.6093	-0.7714	1.9500	-0.2656	-0.1737	-0.7583	0.2776	-0.0016	-5.4282	-23.6968	8.6763	-0.0495
3.5910	5.6056	-0.7879	1.9560	-0.2656	-0.1114	-0.4837	0.1759	-0.0007	-3.2772	-14.2251	5.1721	-0.0197
3.6230	5.5958	-0.8298	1.9710	-0.2656	-0.1839	-0.7909	0.2827	-0.0001	-5.7454	-24.7148	8.8331	-0.0017
3.6290	5.5938	-0.8384	1.9740	-0.2656	-0.3321	-1.4226	0.5035	0.0006	-55.3560	-237.0990	83.9248	0.1033
3.6390	5.5918	-0.8469	1.9771	-0.2656	-0.2011	-0.8576	0.3037	0.0006	-20.1120	-85.7629	30.3719	0.0563
3.6690	5.5898	-0.8556	1.9801	-0.2656	-0.0676	-0.2876	0.1016	0.0002	-2.2519	-9.5867	3.3872	0.0083
3.7010	5.5836	-0.8817	1.9893	-0.2656	-0.0648	-0.2735	0.0955	0.0004	-2.0240	-8.5471	2.9832	0.0132
3.7340	5.5750	-0.9180	2.0018	-0.2655	-0.1356	-0.5648	0.1954	0.0014	-4.1083	-17.1144	5.9208	0.0413
3.7680	5.5686	-0.9441	2.0108	-0.2654	-0.1290	-0.5299	0.1821	0.0017	-3.7929	-15.5848	5.3553	0.0487
3.7980	5.5610	-0.9750	2.0214	-0.2653	-0.1804	-0.7287	0.2490	0.0027	-6.0136	-24.2894	8.2988	0.0895
3.8300	5.5550	-0.9989	2.0295	-0.2652	-0.1439	-0.5751	0.1950	0.0025	-4.4968	-17.9711	6.0927	0.0771
3.8620	5.5456	-1.0360	2.0420	-0.2650	-0.1489	-0.5823	0.1963	0.0028	-4.6539	-18.1979	6.1344	0.0880
3.8690	5.5407	-1.0548	2.0483	-0.2649	-0.3478	-1.3412	0.4498	0.0072	-49.6900	-191.6028	64.2572	1.0220
3.8790	5.5383	-1.0642	2.0515	-0.2649	-0.2454	-0.9415	0.3155	0.0051	-24.5435	-94.1526	31.5532	0.5107
3.9070	5.5333	-1.0831	2.0578	-0.2648	-0.1767	-0.6742	0.2247	0.0038	-6.3112	-24.0796	8.0235	0.1361
3.9400	5.5308	-1.0926	2.0609	-0.2647	-0.0759	-0.2870	0.0957	0.0017	-2.3006	-8.6958	2.8992	0.0518
3.9610	5.5206	-1.1307	2.0735	-0.2645	-0.1232	-0.4554	0.1506	0.0030	-5.8662	-21.6834	7.1724	0.1416
3.9700	5.5151	-1.1508	2.0802	-0.2644	-0.3213	-1.1731	0.3868	0.0079	-35.7034	-130.3471	42.9733	0.8764
3.9800	5.5125	-1.1605	2.0834	-0.2643	-0.2646	-0.9616	0.3170	0.0066	-26.4565	-96.1630	31.6986	0.6578
4.0100	5.5101	-1.1691	2.0862	-0.2642	-0.0799	-0.2888	0.0953	0.0020	-2.6645	-9.6259	3.1783	0.0670
4.0430	5.5020	-1.1981	2.0957	-0.2640	-0.0822	-0.2926	0.0956	0.0022	-2.4924	-8.8658	2.8971	0.0661
4.0780	5.4937	-1.2271	2.1052	-0.2638	-0.0793	-0.2769	0.0903	0.0022	-2.2666	-7.9104	2.5794	0.0615
4.1100	5.4766	-1.2855	2.1241	-0.2633	-0.3498	-1.1867	0.3853	0.0100	-10.9302	-37.0842	12.0416	0.3127
4.1430	5.4734	-1.2962	2.1276	-0.2632	-0.0974	-0.3249	0.1058	0.0028	-2.9529	-9.8441	3.2065	0.0847
4.1490	5.4648	-1.3245	2.1368	-0.2630	-0.4954	-1.6241	0.5275	0.0146	-82.5706	-270.6750	87.9229	2.4378
4.1590	5.4618	-1.3342	2.1400	-0.2629	-0.2995	-0.9759	0.3162	0.0088	-29.9479	-97.5873	31.6199	0.8797
4.1880	5.4585	-1.3450	2.1435	-0.2628	-0.1143	-0.3703	0.1199	0.0034	-3.9401	-12.7688	4.1331	0.1168
4.2220	5.4435	-1.3927	2.1589	-0.2623	-0.3609	-1.1465	0.3707	0.0108	-10.6152	-33.7217	10.9017	0.3179
4.2350	5.4404	-1.4025	2.1620	-0.2622	-0.2391	-0.7483	0.2411	0.0074	-18.3945	-57.5638	18.5498	0.5679
4.2400	5.4369	-1.4132	2.1655	-0.2621	-0.6893	-2.1439	0.6887	0.0212	-137.8520	-428.7766	137.7500	4.2370
4.2690	5.4309	-1.4317	2.1714	-0.2619	-0.2072	-0.6371	0.2054	0.0064	-7.1452	-21.9691	7.0829	0.2200
4.3020	5.4246	-1.4511	2.1777	-0.2617	-0.0968	-0.2933	0.0948	0.0030	-2.9320	-8.8876	2.8726	0.0908
4.3370	5.4109	-1.4917	2.1908	-0.2613	-0.2047	-0.6069	0.1955	0.0064	-5.8485	-17.3414	5.5857	0.1816
4.3700	5.4047	-1.5100	2.1967	-0.2611	-0.1099	-0.3215	0.1033	0.0034	-3.3296	-9.7420	3.1304	0.1036
4.4020	5.3917	-1.5474	2.2087	-0.2607	-0.1048	-0.2991	0.0963	0.0032	-3.2735	-9.3484	3.0103	0.1011
4.4090	5.3816	-1.5760	2.2179	-0.2604	-0.4838	-1.3596	0.4349	0.0154	-69.1186	-194.2228	62.1279	2.1983
