q1_d	q2_d	q3_d	q4_d	q1_a	q2_a	q3_a	q4_a	u1	u2	u2	u4
0.5897	0.5345	-1.0704	0.7106	0.5890	0.5739	-0.9599	0.7184	-1610.8096	100021.7266	-150453.5781	-3805.0835
0.6134	0.5409	-1.0800	0.7312	0.6130	0.5802	-0.9599	0.7390	-147.3061	99696.0859	-150008.2656	-3855.9365
0.6366	0.5471	-1.0880	0.7512	0.6362	0.5861	-0.9599	0.7588	1163.7070	99006.6719	-150996.8281	-3719.0542
0.6593	0.5532	-1.0946	0.7705	0.6589	0.5919	-0.9599	0.7781	2274.9934	98381.6875	-147767.3438	-2834.5459
0.6814	0.5593	-1.0997	0.7892	0.6809	0.5974	-0.9599	0.7966	3492.4656	97737.1250	-147990.7188	-2931.6333
0.7030	0.5652	-1.1036	0.8073	0.7040	0.6026	-0.9600	0.8145	-30965.5254	96067.0703	-154316.1875	8588.1084
0.7240	0.5709	-1.1063	0.8248	0.7261	0.6077	-0.9599	0.8319	-6620.5420	95323.0234	-148654.7656	-2431.2688
0.7445	0.5766	-1.1079	0.8418	0.7469	0.6126	-0.9599	0.8486	-5232.6812	95814.5234	-149111.0781	-2322.4417
0.7643	0.5821	-1.1085	0.8582	0.7671	0.6171	-0.9600	0.8648	-5458.4736	97145.1719	-157973.0469	36172.8750
0.7836	0.5875	-1.1082	0.8741	0.7867	0.6215	-0.9599	0.8805	-5348.0581	95274.9844	-150653.4219	-2214.0737
0.8023	0.5928	-1.1071	0.8894	0.8056	0.6256	-0.9599	0.8956	-5333.3535	94883.3203	-151466.5000	-2199.2803
0.8204	0.5979	-1.1053	0.9043	0.8240	0.6295	-0.9599	0.9102	-5150.4058	94389.1094	-152133.3438	-2259.6143
0.8379	0.6028	-1.1028	0.9187	0.8418	0.6332	-0.9599	0.9244	-5091.7607	94133.4531	-153411.2188	-2196.8765
0.8549	0.6076	-1.0998	0.9326	0.8590	0.6368	-0.9599	0.9381	-5164.7100	93771.5391	-154233.8906	-2060.2207
0.8713	0.6123	-1.0962	0.9461	0.8756	0.6401	-0.9599	0.9513	-5025.4072	93547.7734	-154989.5938	-1871.5593
0.8872	0.6168	-1.0922	0.9591	0.8916	0.6433	-0.9599	0.9641	-4505.5024	93195.8906	-155752.7812	-1984.2478
0.9025	0.6211	-1.0878	0.9717	0.9071	0.6462	-0.9599	0.9764	-4709.4980	92912.0391	-156731.6406	-1679.9873
0.9174	0.6253	-1.0830	0.9839	0.9221	0.6491	-0.9599	0.9884	-4548.9810	92457.5156	-157944.3750	-1947.3894
0.9317	0.6293	-1.0780	0.9958	0.9365	0.6517	-0.9599	1.0000	-4506.2666	92419.5625	-158217.0938	-1630.4464
0.9455	0.6331	-1.0727	1.0072	0.9504	0.6542	-0.9599	1.0112	-4712.3164	92048.8203	-158928.0625	-1521.2787
0.9588	0.6368	-1.0672	1.0183	0.9638	0.6565	-0.9600	1.0220	-4380.0059	92415.5938	-166550.8906	13156.5254
0.9717	0.6403	-1.0615	1.0290	0.9767	0.6587	-0.9599	1.0325	-4122.1919	91269.1953	-162709.6719	-2772.4268
0.9841	0.6436	-1.0557	1.0393	0.9892	0.6608	-0.9599	1.0426	-4058.3943	91352.8438	-161557.0781	-2286.8538
0.9961	0.6468	-1.0498	1.0494	1.0012	0.6627	-0.9600	1.0524	-3908.0630	91154.3359	-164945.1875	-1367.5360
1.0076	0.6499	-1.0438	1.0591	1.0128	0.6645	-0.9599	1.0619	-3895.4587	91165.6484	-160129.6250	-1363.6042
1.0187	0.6528	-1.0378	1.0685	1.0239	0.6663	-0.9599	1.0711	-3820.2446	91020.5547	-160608.5312	-1743.2455
1.0294	0.6556	-1.0317	1.0775	1.0346	0.6679	-0.9599	1.0799	-3566.2939	90936.8203	-159622.3281	-1445.1133
1.0398	0.6582	-1.0256	1.0863	1.0449	0.6694	-0.9599	1.0885	-3531.5388	90749.7422	-159272.6406	-1198.0160
1.0497	0.6607	-1.0195	1.0948	1.0549	0.6708	-0.9599	1.0968	-3781.7520	90745.6797	-158960.0469	-1211.6371
1.0593	0.6631	-1.0135	1.1031	1.0645	0.6721	-0.9599	1.1049	-3289.0518	90583.2188	-157634.9375	-1298.0868
1.0686	0.6654	-1.0074	1.1111	1.0737	0.6734	-0.9599	1.1126	-3235.8882	90304.2734	-159271.6406	-2237.5989
1.0775	0.6676	-1.0014	1.1188	1.0826	0.6746	-0.9599	1.1202	-3307.2166	90451.8125	-155741.2969	-1128.3651
1.0861	0.6696	-0.9955	1.1262	1.0911	0.6758	-0.9599	1.1275	-3431.0134	90391.3047	-154393.7031	-943.8066
1.0944	0.6715	-0.9896	1.1335	1.0994	0.6768	-0.9600	1.1347	-3796.8479	89550.2344	-106200.0469	-59060.0820
1.1023	0.6734	-0.9838	1.1404	1.1073	0.6779	-0.9600	1.1413	-3103.9346	90052.3047	-154944.3125	-2028.2086
1.1100	0.6751	-0.9780	1.1472	1.1149	0.6789	-0.9599	1.1480	-2882.1145	90220.1562	-149315.2188	-1028.8508
1.1174	0.6768	-0.9724	1.1538	1.1223	0.6798	-0.9599	1.1543	-3253.7322	89995.9219	-147321.3281	-734.0958
1.1246	0.6783	-0.9668	1.1601	1.1293	0.6807	-0.9599	1.1605	-3166.1711	90125.4609	-145108.4219	-776.9324
1.1315	0.6798	-0.9613	1.1662	1.1362	0.6816	-0.9599	1.1665	-3007.2878	89809.9141	-142946.9531	-825.9672
1.1381	0.6812	-0.9559	1.1722	1.1427	0.6825	-0.9600	1.1723	-2958.9788	90575.1875	-147154.2500	13697.5479
1.1445	0.6825	-0.9506	1.1779	1.1490	0.6833	-0.9599	1.1779	-2828.7632	89783.8203	-137611.4375	-744.8409
1.1506	0.6838	-0.9455	1.1835	1.1551	0.6841	-0.9599	1.1833	-2611.3926	89461.2500	-135974.8594	-1506.2285
1.1566	0.6850	-0.9404	1.1888	1.1610	0.6849	-0.9599	1.1886	-2791.5039	89747.8359	-131646.0000	-691.4774
1.1623	0.6861	-0.9354	1.1940	1.1667	0.6856	-0.9599	1.1937	-2917.8296	89720.6953	-128676.4922	-577.1422
1.1678	0.6872	-0.9305	1.1991	1.1721	0.6863	-0.9599	1.1986	-2510.1614	89325.7109	-126711.2188	-1562.7272
1.1731	0.6882	-0.9258	1.2039	1.1773	0.6871	-0.9599	1.2034	-2495.9924	89552.6641	-121584.1172	-721.4373
1.1783	0.6891	-0.9211	1.2087	1.1824	0.6878	-0.9599	1.2080	-2512.9897	89385.6641	-118247.6641	-787.3242
1.1832	0.6900	-0.9165	1.2132	1.1873	0.6885	-0.9599	1.2125	-2325.3579	89366.3047	-114270.0625	-494.5343
1.1880	0.6909	-0.9121	1.2176	1.1920	0.6891	-0.9599	1.2168	-2562.0786	89467.7969	-110225.0312	-415.4659
1.1926	0.6917	-0.9078	1.2219	1.1965	0.6898	-0.9599	1.2210	-2302.5823	89369.1016	-106140.4062	-606.6912
1.1970	0.6925	-0.9035	1.2260	1.2009	0.6905	-0.9599	1.2250	-2276.2039	89224.7734	-101871.1172	-466.4721
1.2013	0.6932	-0.8994	1.2300	1.2051	0.6911	-0.9599	1.2290	-1904.3998	89144.2031	-97463.6328	-537.7817
1.2054	0.6939	-0.8953	1.2339	1.2091	0.6917	-0.9599	1.2328	-2335.6143	89355.6875	-93121.4922	-499.5864
1.2094	0.6945	-0.8914	1.2377	1.2130	0.6923	-0.9599	1.2364	-2021.4900	89051.6719	-88416.6406	-416.4020
1.2132	0.6951	-0.8876	1.2413	1.2168	0.6929	-0.9599	1.2400	-2114.9548	88990.8906	-83693.2422	-415.2997
1.2169	0.6957	-0.8839	1.2448	1.2204	0.6935	-0.9599	1.2434	-2225.6414	89074.6562	-78922.2344	-468.0341
1.2205	0.6963	-0.8802	1.2482	1.2239	0.6941	-0.9599	1.2468	-2177.5781	88931.4297	-73800.0312	-385.6599
1.2240	0.6968	-0.8767	1.2515	1.2273	0.6947	-0.9599	1.2500	-2248.2622	88878.4531	-68826.9297	-438.0635
1.2273	0.6973	-0.8732	1.2547	1.2306	0.6952	-0.9599	1.2531	-1916.7692	88767.3828	-64509.0078	-924.0817
1.2305	0.6977	-0.8699	1.2577	1.2337	0.6958	-0.9599	1.2561	-2298.8848	89466.2734	-60491.3828	1115.4856
1.2336	0.6982	-0.8666	1.2607	1.2367	0.6963	-0.9599	1.2591	-2118.1243	88789.9062	-52613.2539	-225.7430
1.2366	0.6986	-0.8634	1.2636	1.2397	0.6968	-0.9599	1.2619	-1899.0516	88629.3125	-47048.7422	-370.2349
1.2395	0.6990	-0.8604	1.2664	1.2425	0.6973	-0.9599	1.2647	-2090.9792	88610.8906	-41365.1211	-249.1121
1.2423	0.6994	-0.8574	1.2691	1.2452	0.6978	-0.9599	1.2673	-1997.0222	88508.6562	-36608.8945	-557.0775
1.2450	0.6997	-0.8544	1.2717	1.2478	0.6981	-0.9599	1.2699	-2040.7546	92542.3281	-29760.2148	-273.6620
1.2476	0.7001	-0.8516	1.2742	1.2504	0.6981	-0.9599	1.2724	-1906.6604	92863.1953	-23846.5195	-213.7162
1.2501	0.7004	-0.8489	1.2767	1.2528	0.6981	-0.9599	1.2748	-1958.7211	92718.2812	-18291.1035	-456.2170
